Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2018-01-31,imoveis_dormitorio_4_mais_pe,"40,00",imoveis,dormitorio,4,mais,pe,,,,,
2018-11-30,imoveis_dormitorio_3_ap,"21,00",imoveis,dormitorio,3,ap,,,,,,
2019-03-31,imoveis_implantacao_condominio_pe,"690,00",imoveis,implantacao,condominio,pe,,,,,,
2021-07-31,imoveis_valor_avaliacao_ce,"166.441,00",imoveis,valor,avaliacao,ce,,,,,,
2019-09-30,imoveis_dormitorio_1_rj,"571,00",imoveis,dormitorio,1,rj,,,,,,
2020-02-29,imoveis_tipo_apartamento_al,"116,00",imoveis,tipo,apartamento,al,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_pi,"22,00",imoveis,dormitorio,4,mais,pi,,,,,
2018-11-30,imoveis_dormitorio_3_ba,"468,00",imoveis,dormitorio,3,ba,,,,,,
2019-03-31,imoveis_implantacao_condominio_pi,"117,00",imoveis,implantacao,condominio,pi,,,,,,
2021-07-31,imoveis_valor_avaliacao_df,"329.000,00",imoveis,valor,avaliacao,df,,,,,,
2019-09-30,imoveis_dormitorio_1_rn,"29,00",imoveis,dormitorio,1,rn,,,,,,
2020-02-29,imoveis_tipo_apartamento_am,"53,00",imoveis,tipo,apartamento,am,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_pr,"63,00",imoveis,dormitorio,4,mais,pr,,,,,
2018-11-30,imoveis_dormitorio_3_ce,"464,00",imoveis,dormitorio,3,ce,,,,,,
2019-03-31,imoveis_implantacao_condominio_pr,"2.129,00",imoveis,implantacao,condominio,pr,,,,,,
2021-07-31,imoveis_valor_avaliacao_es,"260.000,00",imoveis,valor,avaliacao,es,,,,,,
2019-09-30,imoveis_dormitorio_1_ro,"13,00",imoveis,dormitorio,1,ro,,,,,,
2020-02-29,imoveis_tipo_apartamento_ap,"19,00",imoveis,tipo,apartamento,ap,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_rj,"64,00",imoveis,dormitorio,4,mais,rj,,,,,
2018-11-30,imoveis_dormitorio_3_df,"167,00",imoveis,dormitorio,3,df,,,,,,
2019-03-31,imoveis_implantacao_condominio_rj,"1.720,00",imoveis,implantacao,condominio,rj,,,,,,
2021-07-31,imoveis_valor_avaliacao_go,"170.000,00",imoveis,valor,avaliacao,go,,,,,,
2019-09-30,imoveis_dormitorio_1_rr,"9,00",imoveis,dormitorio,1,rr,,,,,,
2020-02-29,imoveis_tipo_apartamento_ba,"336,00",imoveis,tipo,apartamento,ba,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_rn,"8,00",imoveis,dormitorio,4,mais,rn,,,,,
2018-11-30,imoveis_dormitorio_3_es,"125,00",imoveis,dormitorio,3,es,,,,,,
2019-03-31,imoveis_implantacao_condominio_rn,"283,00",imoveis,implantacao,condominio,rn,,,,,,
2021-07-31,imoveis_valor_avaliacao_ma,"147.750,00",imoveis,valor,avaliacao,ma,,,,,,
2019-09-30,imoveis_dormitorio_1_rs,"661,00",imoveis,dormitorio,1,rs,,,,,,
2020-02-29,imoveis_tipo_apartamento_ce,"462,00",imoveis,tipo,apartamento,ce,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_ro,"4,00",imoveis,dormitorio,4,mais,ro,,,,,
2018-11-30,imoveis_dormitorio_3_go,"731,00",imoveis,dormitorio,3,go,,,,,,
